,Date,Heures,Consommation,Fioul,Charbon,Gaz,nucleaire,Eolien,Solaire,Hydraulique,Pompage,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Autres,Gaz - TAC,Gaz - CCG,Gaz - Autres,Hydraulique - Lacs,Hydraulique - STEP turbinage, Stockage batterie,Eolien terrestre,Eolien offshore
France,2022-01-01,00:00,54615,89,14,2961,41560,3184,0,8719,-509,-2589,25,188,-3330,-2033,-3200,5371,0,16,26,621,162,1439,980,0,0,0
France,2022-01-01,00:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,00:30,54015,99,13,2691,39434,3191,0,10212,-19,-2769,30,188,-3330,-2033,-3200,5284,0,17,86,106,1514,2494,1672,0,0,0
France,2022-01-01,00:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,01:00,52108,99,14,2691,38697,3257,0,9018,-55,-2788,31,177,-3330,-2033,-3200,5246,0,17,89,108,1508,2388,632,0,0,0
France,2022-01-01,01:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,01:30,52239,99,13,2695,38594,3283,0,9198,-75,-2749,31,177,-3330,-2033,-3200,5234,0,17,89,108,1504,2080,1167,0,0,0
France,2022-01-01,01:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,02:00,51803,99,13,2680,38102,3153,0,9068,-498,-1975,31,160,-3330,-2033,-3200,6953,0,17,90,109,1486,2095,1071,0,0,0
France,2022-01-01,02:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,02:30,51252,99,13,2694,38060,3139,0,7786,-707,-1007,32,160,-3330,-2033,-3200,6881,0,17,86,109,1500,1604,396,0,0,0
France,2022-01-01,02:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,03:00,49431,99,13,2692,37287,3219,0,7025,-709,-1355,33,766,-3145,-2033,-3179,6773,0,17,88,109,1495,1279,142,0,0,0
France,2022-01-01,03:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,03:30,48260,99,13,2696,37232,3328,0,6549,-2210,-618,34,766,-3145,-2033,-3179,6773,0,17,88,109,1498,782,155,0,0,0
France,2022-01-01,03:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,04:00,47038,99,13,2696,36270,3390,0,6532,-2552,-588,35,1000,-3145,-2033,-3169,5301,0,17,89,109,1502,757,154,0,0,0
France,2022-01-01,04:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,04:30,46254,99,13,2703,36479,3573,0,6354,-2724,-1414,35,1000,-3145,-2033,-3169,4976,0,17,89,108,1508,711,9,0,0,0
France,2022-01-01,04:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,05:00,45792,99,13,2699,36313,3718,0,6368,-3178,-1415,36,1000,-3145,-2033,-3200,5190,0,17,89,109,1504,713,9,0,0,0
France,2022-01-01,05:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,05:30,46032,99,13,2707,36830,3809,0,6338,-3365,-1556,35,1000,-3145,-2033,-3200,5165,0,17,98,109,1503,706,10,0,0,0
France,2022-01-01,05:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,06:00,45999,99,13,2696,36983,3816,0,6362,-3716,-1415,35,1000,-3145,-2033,-3200,5245,0,17,94,109,1501,701,10,0,0,0
France,2022-01-01,06:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,06:30,46561,99,13,2703,37526,3870,0,6532,-3714,-1626,35,1000,-3145,-2033,-3200,4895,0,17,98,108,1503,798,10,0,0,0
France,2022-01-01,06:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,07:00,46721,99,12,2707,37417,4003,0,6547,-3717,-1494,35,1000,-3006,-2033,-3200,4539,0,17,100,109,1503,811,10,0,0,0
France,2022-01-01,07:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,07:30,47240,99,13,2710,37545,4277,0,6509,-3465,-1598,34,1000,-3006,-2033,-3200,3885,0,17,101,109,1505,794,10,0,0,0
France,2022-01-01,07:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,08:00,47703,99,13,2714,38499,4575,0,6516,-3059,-2813,33,1000,-2912,-1962,-3165,3832,0,17,101,108,1512,803,10,0,0,0
France,2022-01-01,08:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,08:30,47919,99,12,2712,39463,4868,14,6421,-2998,-3831,33,1000,-2912,-1962,-3165,3182,0,17,101,110,1509,802,10,0,0,0
France,2022-01-01,08:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,09:00,48244,99,12,2711,39599,4971,283,6561,-3227,-3926,32,1000,-2692,-2022,-3194,2481,0,17,101,110,1507,802,10,0,0,0
France,2022-01-01,09:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,09:30,49081,99,12,2698,39944,5199,1026,6620,-3115,-4553,31,1000,-2692,-2022,-3194,2431,0,17,101,110,1495,742,10,0,0,0
France,2022-01-01,09:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,10:00,49676,100,12,2701,39760,5179,1937,6643,-2866,-4950,31,1000,-1816,-2033,-3196,326,0,17,100,110,1496,741,10,0,0,0
France,2022-01-01,10:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,10:30,50187,101,12,2687,40413,5147,2825,6441,-2805,-5787,30,1000,-1816,-2033,-3196,426,0,17,100,102,1496,561,10,0,0,0
France,2022-01-01,10:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,11:00,50610,100,13,2766,40197,5056,3697,6505,-2847,-6030,30,1000,-1245,-1965,-3178,-1836,0,17,100,197,1481,617,10,0,0,0
France,2022-01-01,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,11:30,51219,100,12,2681,40857,4798,4370,6642,-2736,-6646,29,1000,-1245,-1965,-3178,-1836,0,17,99,94,1498,738,9,0,0,0
France,2022-01-01,11:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,12:00,51838,100,12,2760,41028,4481,4833,6716,-2565,-6670,29,720,-2044,-1876,-2675,-1432,0,17,99,197,1475,815,10,0,0,0
France,2022-01-01,12:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,12:30,52883,100,13,2779,41048,3990,5122,7168,-2135,-6342,29,720,-2044,-1876,-2675,-1332,0,17,103,197,1491,1219,10,0,0,0
France,2022-01-01,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,13:00,53405,100,12,2755,40811,3558,5198,7191,-1607,-5741,28,534,-3007,-1632,-2514,-1516,0,17,101,197,1468,1205,10,0,0,0
France,2022-01-01,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,13:30,51854,100,13,2756,40927,3250,5086,7349,-1608,-7152,28,534,-3007,-1632,-2514,-1616,0,17,100,197,1471,1228,154,0,0,0
France,2022-01-01,13:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,14:00,50366,100,13,2650,40928,3080,4808,7354,-1444,-8245,28,10,-2689,-2033,-3198,-2585,0,17,100,107,1462,1245,156,0,0,0
France,2022-01-01,14:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,14:30,49034,100,12,2648,41159,2851,4265,7349,-491,-9987,28,10,-2689,-2033,-3198,-2674,0,17,99,108,1460,1297,172,0,0,0
France,2022-01-01,14:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,15:00,47886,100,13,2631,41155,2565,3601,7309,-265,-10357,28,198,-987,-2033,-3200,-5190,0,17,100,108,1446,1262,194,0,0,0
France,2022-01-01,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,15:30,47304,100,13,2641,41286,2537,2739,7829,-109,-10882,28,198,-987,-2033,-3200,-5226,0,17,101,108,1455,1334,615,0,0,0
France,2022-01-01,15:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,16:00,46766,100,13,2665,41268,2777,1814,7873,-110,-10768,29,214,-1283,-2033,-3200,-4585,0,17,102,107,1479,1401,575,0,0,0
France,2022-01-01,16:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,16:30,46826,100,12,2675,41365,3076,962,8373,-75,-10797,29,214,-1283,-2033,-3200,-4585,0,17,102,108,1485,1524,958,0,0,0
France,2022-01-01,16:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,17:00,47356,100,12,2686,41481,3577,294,8993,-29,-10875,28,-257,-1518,-2033,-3199,-2720,0,17,102,108,1495,1730,1268,0,0,0
France,2022-01-01,17:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,17:30,49740,100,12,2677,41826,4118,22,9787,-21,-9907,28,-257,-1518,-2033,-3199,-2764,0,17,103,108,1483,1865,1783,0,0,0
France,2022-01-01,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,18:00,52107,100,12,2680,42157,4607,4,10718,-21,-9272,27,-526,-2913,-2033,-2753,-647,0,17,102,108,1486,2298,2149,0,0,0
France,2022-01-01,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,18:30,53640,100,13,2644,42249,5006,2,11025,-61,-8468,26,-526,-2913,-2033,-2753,-26,0,17,103,108,1450,2525,2138,0,0,0
France,2022-01-01,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,19:00,54913,100,12,2695,42306,5285,1,11334,-75,-7864,26,95,-3237,-2033,-3196,1488,0,17,103,108,1499,2635,2238,0,0,0
France,2022-01-01,19:15,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-01-01,19:30,55485,99,12,2655,42248,5265,0,10842,-77,-6686,26,95,-3237,-2033,-3196,2343,0,17,104,108,1458,2210,2132,0,0,0
